anime_id,name,genre,episodes,rating,members
89,Mobile Suit Victory Gundam,"Drama, Mecha, Military, Sci-Fi, Space",51,6.98,12673
90,Mobile Suit Gundam Wing,"Action, Drama, Mecha, Military, Sci-Fi, Space",49,7.87,86001
92,After War Gundam X,"Adventure, Drama, Mecha, Sci-Fi, Space",39,7.39,19132
93,Mobile Suit Gundam Seed,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",50,7.93,96973
94,Mobile Suit Gundam Seed Destiny,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",50,7.36,65896
95,Turn A Gundam,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",50,7.76,20056
96,Mobile Fighter G Gundam,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",49,7.62,36338
97,Last Exile,"Action, Adventure, Sci-Fi",26,7.94,104193
98,Mai-HiME,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",26,7.59,76492
99,Mai-Otome,"Comedy, Drama, Fantasy, Magic",26,7.4,36924
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",13,7.33,37394
101,Air,"Drama, Romance, Slice of Life, Supernatural",13,7.48,188861
102,Aishiteruze Baby★★,"Comedy, Drama, Romance, Shoujo",26,7.58,63959
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",74,7.48,7581
104,Ayashi no Ceres,"Adventure, Comedy, Drama, Horror, Psychological, Romance, Shoujo, Supernatural",24,7.38,38336
105,Boys Be...,"Comedy, Romance, Shounen, Slice of Life",13,6.59,15026
106,Hana yori Dango,"Drama, Romance, School, Shoujo",51,7.9,28341
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",13,7.34,21920
109,Bakuretsu Tenshi,"Adventure, Comedy, Mecha, Sci-Fi",24,6.94,48551
110,Chuuka Ichiban!,"Action, Comedy, Drama, Shounen",52,7.69,8586
111,Corrector Yui,"Adventure, Comedy, Magic, Sci-Fi",52,6.9,7411
112,Chou Henshin Cosprayers,"Action, Adventure, Comedy, Ecchi, Fantasy, Magic, Sci-Fi, Super Power",8,5.11,5555
113,Uchuu no Stellvia,"Action, Romance, Sci-Fi, Space",26,7.49,15471
114,Sakigake!! Cromartie Koukou,"Comedy, School, Shounen",26,8.02,67254
115,El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",13,6.94,7131
116,El Hazard: The Wanderers,"Adventure, Comedy, Fantasy, Romance",26,7.1,9289
119,Final Approach,"Comedy, Drama, Romance, Slice of Life",13,6.69,24902
120,Fruits Basket,"Comedy, Drama, Fantasy, Romance, Shoujo, Slice of Life",26,7.8,242553
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",51,8.33,600384
122,Full Moon wo Sagashite,"Comedy, Drama, Music, Romance, Shoujo, Supernatural",52,8.08,59374
123,Fushigi Yuugi,"Adventure, Comedy, Drama, Fantasy, Historical, Magic, Martial Arts, Romance, Shoujo",52,7.77,61622
125,Futakoi,"Comedy, Romance, School",13,6.64,23968
126,Futakoi Alternative,"Comedy, Drama, Romance",13,7.02,21516
127,Gate Keepers,"Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen",24,7.07,14582
129,Gensoumaden Saiyuuki,"Adventure, Comedy, Drama, Shounen, Supernatural",50,7.71,31179
130,Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Fantasy, Shoujo",25,7.54,16298
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Fantasy, Shoujo",26,7.56,11233
132,GetBackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",49,7.73,73536
133,Green Green,"Comedy, Ecchi, Romance, School, Slice of Life",12,6.44,80562
134,Gunslinger Girl,"Action, Drama, Military, Psychological, Sci-Fi",13,7.55,106865
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",75,8.19,69000
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",62,8.48,166255
141,Jinki:Extend,"Mecha, Sci-Fi",12,6.29,7496
142,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",44,7.52,31081
143,Kannazuki no Miko,"Drama, Magic, Mecha, Romance, Shoujo Ai, Shounen, Supernatural",12,7.05,42927
144,Kanon,"Drama, Romance, Slice of Life, Supernatural",13,7.27,41960
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",26,7.66,94165
146,Kono Minikuku mo Utsukushii Sekai,"Comedy, Drama, Magic, Romance, Sci-Fi",12,6.92,41756
147,Kimi ga Nozomu Eien,"Drama, Romance, Slice of Life",14,7.41,90379
148,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life",12,6.77,5736
149,Loveless,"Action, Drama, Fantasy, Mystery, Romance, Shoujo, Shounen Ai, Supernatural",12,7.19,85554
150,Blood+,"Action, Drama, Horror, Military, Mystery, Supernatural, Vampire",50,7.8,208321
152,Solty Rei,"Action, Sci-Fi, Super Power",24,7.38,17943
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural",45,8.16,66646
154,Shaman King,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",64,7.83,169517
156,X,"Action, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",24,7.56,51004
157,Mahou Sensei Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",26,7.11,76253
158,Maria-sama ga Miteru,"Drama, Romance, Shoujo, Shoujo Ai, Slice of Life",13,7.48,33989
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",24,6.44,12169
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi",13,7.81,56839
161,Peace Maker Kurogane,"Action, Comedy, Historical, Samurai, Shounen",24,7.43,35123
162,Pita Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen",26,7.08,16047
163,Power Stone,"Adventure, Comedy, Fantasy, Historical, Shounen",26,6.57,4308
165,RahXephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",26,7.55,66751
166,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi",26,7.6,74991
167,Scrapped Princess,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi, Shounen",24,7.52,54575
168,s.CRY.ed,"Action, Adventure, Drama, Sci-Fi, Super Power",26,7.45,52784
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",12,7.1,90713
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",101,8.56,82570
171,Strange Dawn,"Adventure, Drama, Fantasy",13,6.59,1865
173,Tactics,"Comedy, Drama, Fantasy, Mystery, Shounen, Super Power",25,7.34,27358
174,Tenjou Tenge,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",24,7.1,103449
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",26,6.74,17920
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Magic, Romance, Shounen, Supernatural",26,7.67,134705
178,Ultra Maniac,"Comedy, Magic, Romance, School, Shoujo",26,7.3,20062
180,Vandread,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",13,7.33,53360
181,Vandread: The Second Stage,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",13,7.54,36264
182,Tenkuu no Escaflowne,"Adventure, Fantasy, Mecha, Romance, Shoujo",26,7.8,83437
183,Whistle!,"School, Shounen, Sports",39,7.53,8040
184,Xenosaga The Animation,"Action, Mecha, Sci-Fi, Shounen, Space",12,6.47,13827
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",26,8.23,68128
186,Initial D Second Stage,"Action, Cars, Drama, Seinen, Sports",13,8.12,45825
189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",24,7.28,156627
193,Maburaho,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",24,7.01,61004
195,Onegai☆Teacher,"Comedy, Drama, Romance, School, Sci-Fi",12,7.35,99558
196,Onegai☆Twins,"Comedy, Drama, Harem, School, Sci-Fi",12,7.05,59164
197,Rizelmine,"Comedy, Ecchi, Romance, School, Sci-Fi",24,6.67,16672
198,Speed Grapher,"Action, Mystery, Super Power",24,7.46,64627
200,Tenshi na Konamaiki,"Comedy, Magic, Romance, Shounen",50,7.6,15077
202,Wolf&#039;s Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",26,7.93,171863
204,Yumeria,"Action, Comedy, Ecchi, Harem, Super Power",12,6.25,19138
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",26,8.5,390076
206,Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Fantasy, Magic, Romance",27,7.25,16288
209,R.O.D the TV,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power",26,7.64,47053
210,Ranma ½,"Comedy, Fantasy, Martial Arts, Slice of Life",161,7.87,105212
218,Kidou Senkan Nadesico,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",26,7.6,27976
222,Mezzo DSA,"Action, Adventure, Comedy, Mystery, Sci-Fi",13,6.78,11750
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",153,8.16,316102
225,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power",64,6.72,226625
226,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",13,7.85,623511
228,Jigoku Shoujo,"Horror, Mystery, Psychological, Supernatural",26,7.79,172415
229,Ninin ga Shinobuden,"Comedy, Martial Arts, Parody",12,7.03,23125
230,Air Master,"Action, Comedy, Martial Arts, Seinen",27,7.14,22433
231,Asagiri no Miko,"Action, Comedy, Drama, Fantasy, Magic, School, Sci-Fi, Shounen, Slice of Life, Super Power, Supernatural",26,6.31,4721
232,Cardcaptor Sakura,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",70,8.18,181249
233,Daa! Daa! Daa!,"Comedy, Sci-Fi, Shoujo",78,7.81,12673
234,Dan Doh!!,"Adventure, Shounen, Sports",26,6.82,2351
235,Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen",Unknown,8.25,114702
236,E&#039;s Otherwise,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural",26,6.75,11704
237,Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",50,8.19,239570
238,Rekka no Honoo,"Action, Adventure, Martial Arts, Shounen, Super Power",42,7.44,35258
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",24,8.27,103828
240,Genshiken,"Comedy, Parody, Slice of Life",12,7.76,104258
241,Girls Bravo: First Season,"Comedy, Ecchi, Fantasy, Harem, Romance, School",11,6.69,84395
242,Gokusen,"Comedy, Drama, Josei, School, Slice of Life",13,7.48,22009
243,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai",13,7.26,67916
244,Agatha Christie no Meitantei Poirot to Marple,"Historical, Mystery",39,6.95,3933
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",43,8.77,268487
246,Groove Adventure Rave,"Adventure, Comedy, Fantasy, Romance, Shounen",51,7.45,56353
247,Harukanaru Toki no Naka de: Hachiyou Shou,"Demons, Fantasy, Historical, Magic, Shoujo, Supernatural",26,7.18,14550
248,Ichigo 100%,"Comedy, Ecchi, Harem, Romance, Shounen",12,6.84,67310
249,InuYasha,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",167,7.89,281632
250,Konjiki no Gash Bell!!,"Adventure, Comedy, Magic, Shounen, Supernatural",150,7.66,51403
251,Kyou kara Maou!,"Adventure, Comedy, Demons, Fantasy, Shoujo",78,7.88,58150
252,Madlax,"Drama, Magic, Military, Mystery, Psychological, Shounen, Supernatural",26,7.17,25995
253,Jungle wa Itsumo Hare nochi Guu,"Comedy, School, Slice of Life",26,7.97,22214
257,Ikkitousen,"Ecchi, Martial Arts, School, Super Power",13,6.62,88969
260,Happy☆Lesson (TV),"Comedy, Drama, Harem, Romance, Slice of Life",13,6.81,17109
261,Happy☆Lesson: Advance,"Comedy, Harem, Romance, Slice of Life",13,6.97,9989
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",75,8.83,157670
266,Gunparade March: Arata Naru Kougunka,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life",12,6.96,9902
267,Gungrave,"Action, Drama, Sci-Fi, Seinen, Super Power",26,7.97,95825
269,Bleach,"Action, Comedy, Shounen, Super Power, Supernatural",366,7.95,624055
270,Hellsing,"Action, Horror, Seinen, Supernatural, Vampire",13,7.64,308995
271,Gad Guard,"Adventure, Mecha, Sci-Fi, Shounen",26,6.82,8315
272,Noir,"Action, Drama, Mystery",26,7.41,66036
273,Mahoutsukai ni Taisetsu na Koto,"Drama, Magic, Shounen, Slice of Life",12,6.87,15152
274,Kiddy Grade,"Action, Ecchi, Mecha, Sci-Fi, Super Power",24,7.31,30766
275,Love♥Love?,"Comedy, Ecchi, Harem, Romance",9,6.05,15114
276,Mahoromatic: Automatic Maiden,"Comedy, Ecchi, Military, Romance, Sci-Fi",12,7.29,36656
277,Mahoromatic 2,"Comedy, Drama, Ecchi, Military, Romance, Sci-Fi",14,7.3,21393
278,Viewtiful Joe,"Action, Comedy, Sci-Fi, Shounen",51,6.92,5420
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural",13,7.27,20859
280,Animal Yokochou,"Adventure, Comedy, Fantasy, Shoujo",51,7.04,1511
282,Angel Heart,"Action, Drama, Mystery, Romance, Seinen",50,7.38,9550
283,Akage no Anne,"Drama, Historical, Slice of Life",50,7.6,9460
284,Area 88 (TV),"Action, Drama, Military, Romance, Shounen",12,7.17,7563
285,Argento Soma,"Action, Adventure, Drama, Mecha, Military, Sci-Fi",25,6.94,12809
286,B&#039;T X,"Adventure, Mecha, Sci-Fi, Shounen",25,7.17,5913
287,Grappler Baki (TV),"Shounen, Sports",24,7.41,23220
288,Bakuten Shoot Beyblade,"Action, Adventure, Comedy, Sci-Fi, Shounen, Sports",51,6.81,49467
289,Comic Party,"Comedy, Drama",13,6.68,12988
290,Seikai no Monshou,"Action, Military, Romance, Sci-Fi, Space",13,7.83,26379
291,D.C.S.S: Da Capo Second Season,"Comedy, Drama, Harem, Romance, Supernatural",26,7.15,23364
292,Dear Boys,"Drama, Shounen, Sports",26,6.99,12662
293,Di Gi Charat,"Comedy, Fantasy, Sci-Fi",16,6.85,12227
294,Divergence Eve,"Adventure, Comedy, Drama, Mecha, Military, Sci-Fi, Space",13,6.08,7833
295,Divergence Eve 2: Misaki Chronicles,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",13,6.43,4790
296,Dragon Drive,"Action, Adventure, Comedy, Fantasy, School, Sci-Fi, Shounen",38,6.88,14232
297,Grenadier: Hohoemi no Senshi,"Action, Adventure, Comedy, Ecchi, Shounen",12,6.83,37919
298,.hack//Tasogare no Udewa Densetsu,"Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen",12,6.75,47679
301,Cinderella Boy,"Action, Adventure, Comedy, Mystery",13,6.38,3246
302,Mirai Shounen Conan,"Adventure, Drama, Sci-Fi",26,8.16,15557
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,"Comedy, Magic, Supernatural",48,7.04,15937
306,Abenobashi Mahou☆Shoutengai,"Comedy, Ecchi, Fantasy, Parody",13,7.38,47752
307,Kerokko Demetan,"Comedy, Fantasy, Kids",39,6.04,533
308,Zettai Shounen,"Drama, Fantasy, Mystery, Sci-Fi, Shounen",26,7.06,11165
309,Akahori Gedou Hour Rabuge,"Comedy, Magic, Parody",13,6.3,3271
310,"Chiisana Obake Acchi, Kocchi, Socchi","Comedy, Supernatural",50,6.17,1226
311,Ace wo Nerae!,"Drama, Romance, School, Shoujo, Sports",26,7.08,3945
318,Hand Maid May,"Comedy, Ecchi, Harem, Romance, Sci-Fi",10,6.85,17895
321,Najica Dengeki Sakusen,"Action, Comedy, Ecchi, Sci-Fi",12,6.08,9605
322,Paradise Kiss,"Comedy, Drama, Josei, Romance, Slice of Life",12,7.93,86380
323,Mousou Dairinin,"Drama, Mystery, Police, Psychological, Supernatural, Thriller",13,7.74,137687
324,Mobile Police Patlabor: On Television,"Comedy, Mecha, Police, Sci-Fi",47,7.72,16130
325,Peach Girl,"Drama, Romance, Shoujo, Slice of Life",25,7.16,49508
326,Petshop of Horrors,"Horror, Josei, Mystery, Supernatural",4,7.41,32696
327,Puchi Puri Yuushi,"Comedy, Fantasy, Magic, Shoujo",26,7.54,8030
328,Piano,"Drama, Music, Romance, Shoujo, Slice of Life",10,6.1,5674
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",26,8.38,105044
330,Midori no Hibi,"Comedy, Drama, Ecchi, Romance, Shounen",13,7.45,87938
331,Mahoujin Guru Guru,"Adventure, Comedy, Fantasy, Magic, Shounen",45,7.75,3725
332,Dokidoki Densetsu: Mahoujin Guru Guru,"Adventure, Comedy, Fantasy, Magic, Shounen",38,7.42,1625
333,Mama wa Shougaku 4 Nensei,"Comedy, Drama, Sci-Fi",51,7.31,1711
334,Marmalade Boy,"Comedy, Drama, Romance, Shoujo",76,7.64,24745
335,Matantei Loki Ragnarok,"Comedy, Magic, Mystery, Shounen, Supernatural",26,7.42,25098
336,Ginyuu Mokushiroku Meine Liebe,"Fantasy, Shoujo",13,6.54,9540
337,Psychic Academy,"Comedy, Romance, Supernatural",24,6.36,7751
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",40,8.4,32188
339,Serial Experiments Lain,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",13,7.99,215829
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,"Action, Historical, Martial Arts, Samurai, Shounen",26,7.68,13959
341,Spiral: Suiri no Kizuna,"Drama, Mystery, Shounen",25,7.38,36187
342,Starship Operators,"Drama, Military, Sci-Fi, Space",13,7.1,9704
343,Tsukuyomi: Moon Phase,"Comedy, Fantasy, Romance, Seinen, Vampire",25,7.16,44874
344,Futatsu no Spica,"Drama, School, Sci-Fi, Supernatural",20,7.47,5894
345,Eikoku Koi Monogatari Emma,"Drama, Historical, Romance, Seinen, Slice of Life",12,7.81,23877
346,W: Wish,"Drama, Harem, Romance, School, Slice of Life",13,6.3,10523
347,Wild Arms: Twilight Venom,"Action, Adventure, Fantasy, Magic, Sci-Fi, Vampire",22,6.75,4750
348,Binzume Yousei,"Comedy, Fantasy, Magic, Slice of Life",13,6.55,12852
349,Magical Canan,"Drama, Fantasy, Magic, Supernatural",13,6.42,2942
350,Ojamajo Doremi,"Comedy, Magic",51,7.19,19222
351,Ojamajo Doremi Sharp,"Comedy, Magic, Shoujo",49,7.32,7878
352,Motto! Ojamajo Doremi,"Comedy, Fantasy, Magic, Shoujo",50,7.29,8760
353,Ojamajo Doremi Dokkaan!,"Comedy, Magic, Shoujo",51,7.52,5971
354,UG☆Ultimate Girls,"Comedy, Ecchi, Magic, Sci-Fi",12,5.73,6025
355,Shakugan no Shana,"Action, Drama, Fantasy, Romance, School, Supernatural",24,7.74,297058
356,Fate/stay night,"Action, Fantasy, Magic, Romance, Supernatural",24,7.58,374880
360,Himiko-den,"Adventure, Drama, Fantasy, Supernatural",12,6.4,3731
364,Gallery Fake,"Mystery, Seinen",37,7.62,6806
369,Boogiepop wa Warawanai: Boogiepop Phantom,"Dementia, Drama, Horror, Mystery, Psychological, Supernatural",12,7.27,47280
370,Burn Up Excess,"Action, Adventure, Comedy, Ecchi, Police, Sci-Fi, Shounen",13,6.71,6402
375,Bannou Bunka Neko-Musume (1998),"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen",12,6.69,4038
379,Heppoko Jikken Animation Excel♥Saga,"Comedy, Parody, Sci-Fi, Shounen",26,7.57,68198
383,Galaxy Angel,"Comedy, Sci-Fi",24,7.14,17601
384,Gantz,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",13,7.27,165335
385,Gilgamesh,"Drama, Fantasy, Sci-Fi, Supernatural",26,6.8,25332
386,H2,"Comedy, Romance, Shounen, Sports",41,7.39,4450
387,Haibane Renmei,"Drama, Fantasy, Mystery, Psychological, Slice of Life",13,8.07,120731
388,Capeta,"Cars, Shounen, Sports",52,7.91,9711
390,Suzuka,"Drama, Romance, Sports",26,7.35,64161
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",112,8.47,195017
394,Ai Yori Aoshi: Enishi,"Comedy, Drama, Harem, Romance, Slice of Life",12,7.25,37944
395,Gantz 2nd Stage,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",13,7.29,87240
396,Seikai no Senki,"Action, Military, Romance, Sci-Fi, Space",13,7.86,18580
397,Seikai no Senki II,"Action, Military, Romance, Sci-Fi, Space",10,7.97,13888
400,Seihou Bukyou Outlaw Star,"Action, Adventure, Comedy, Sci-Fi, Space",24,7.98,78600
403,Hanaukyou Maid-tai,"Comedy, Ecchi, Harem, Romance",12,6.72,19053
406,Buzzer Beater,"Shounen, Sports",13,6.73,8439
407,Tantei Gakuen Q,"Comedy, Drama, Mystery, Police, Shounen",45,7.87,16591
411,Gun x Sword,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",26,7.38,45921
412,Kore ga Watashi no Goshujinsama,"Comedy, Ecchi, Slice of Life",12,6.69,57646
417,Ragnarök the Animation,"Action, Fantasy, Magic",26,6.57,32711
419,Samurai Deeper Kyou,"Adventure, Comedy, Historical, Shounen, Supernatural",26,7.02,38580
421,Stratos 4,"Comedy, Military, Sci-Fi, Shounen",13,6.75,6909
424,Dirty Pair,"Adventure, Comedy, Police, Sci-Fi",24,7.22,9131
427,Kaleido Star,"Comedy, Drama, Fantasy, Shoujo",51,8.05,42253
435,Magic Knight Rayearth,"Adventure, Comedy, Drama, Fantasy, Magic, Mecha, Romance, Shoujo",20,7.53,34141
440,Shoujo Kakumei Utena,"Drama, Fantasy, Psychological, Shoujo",39,8.22,77464
444,Maria-sama ga Miteru: Haru,"Drama, Romance, School, Shoujo, Shoujo Ai",13,7.85,14983
445,Tales of Eternia The Animation,"Adventure, Comedy, Fantasy, Romance, Shounen",13,6.32,11582
446,Weiß Kreuz Glühen,"Action, Drama, Shounen",13,6.72,7043
447,Weiß Kreuz,"Action, Drama, Shounen",25,6.84,13039
455,Fantastic Children,"Adventure, Fantasy, Mystery, Romance, Sci-Fi",26,7.67,17773
